,Unnamed: 0,beach_id,beach_slope_average,width_ci_average,quality_flag,mstr,hsig_median,prc_mstr_obs,min_tide_obs,max_tide_obs,sl_points_average,beach_length,coastal_region,primary_comp_id,secondary_comp_id,d50,distance_to_sample,latitude,longitude,hs_mean,hs_max,tp,dir,Wdir_weighted_mean,geometry,index_right,ID_Region,Descriptio
458,733,aus1329,0.0562242700191456,0.028,Medium,0.7682378888130188,0.968000054359436,102.96,-0.357226368555799,0.4337815371652598,1004.0,668.4494781705473,Southwest WA,WA06.02,WA06.02.02,0.42928,0.0,-31.853355205971692,115.7513320910647,2.294686123798856,5.844186840289597,12.628869940828327,225.74004601317463,231.25753105409063,POINT (115.7513320910647 -31.853355205971692),6,4,Western Coasts
459,734,aus1330,0.0610692341669937,0.0432,Medium,0.7682378888130188,0.968000054359436,102.96,-0.357226368555799,0.4337815371652598,991.0,725.177178394961,Southwest WA,WA06.02,WA06.02.02,0.37893,0.0,-31.846097439082783,115.75106795487568,2.294686123798856,5.844186840289597,12.628869940828327,225.74004601317463,231.25753105409063,POINT (115.75106795487568 -31.846097439082783),6,4,Western Coasts
460,737,aus1337,0.0698778803818406,0.0443,Medium,0.7683689594268799,1.4860000610351562,102.87,-0.3582254261899773,0.4322198787408002,961.5,4864.48686363459,Southwest WA,WA06.02,WA06.02.03,0.34151,0.0,-31.71330050873196,115.7086871197196,2.281493800775027,5.846749727829997,12.994006683034048,224.7387468726725,228.97405226750303,POINT (115.7086871197196 -31.71330050873196),6,4,Western Coasts
461,738,aus1340,0.0643865850125299,0.0426,Medium,0.7678236961364746,1.772000074386597,102.83,-0.3587211518535027,0.4308083950036546,688.0,1432.73317378552,Southwest WA,WA06.02,WA06.02.03,0.2973,5.3612952573645885,-31.544948332316427,115.62042518096666,2.281493800775027,5.846749727829997,12.994006683034048,224.7387468726725,228.97405226750303,POINT (115.62042518096666 -31.544948332316427),6,4,Western Coasts
462,740,aus1342,0.0559516157781174,0.03535,Medium,0.7664797306060791,1.9240001440048216,102.64,-0.3579557133215729,0.4287308457939053,501.0,20357.18535577787,Southwest WA,WA06.02,WA06.02.03,0.23651,18.60298710032518,-31.42103442516847,115.54298178340603,2.281493800775027,5.846749727829997,12.994006683034048,224.7387468726725,228.97405226750303,POINT (115.54298178340603 -31.42103442516847),6,4,Western Coasts
463,757,aus1374,0.0562192744884551,0.0353,Medium,0.7667571306228638,1.7640000581741333,101.45,-0.356315434352028,0.4215552005265624,666.0,305.3641797136575,Southwest WA,WA07.02,WA07.02.02,0.26609,98.04979474158527,-30.045146846770773,114.95694855462648,2.2836761085887782,5.875017486772448,13.307103487811313,220.78579744979388,223.99784219242977,POINT (114.95694855462648 -30.045146846770773),6,4,Western Coasts
464,765,aus1394,0.0606316937920322,0.0302,Medium,0.7978341579437256,1.8540000915527344,99.74,-0.3559861623637876,0.4397965148078169,1064.0,987.206570240186,Southwest WA,WA07.02,WA07.02.05,0.1349,542.4904508322279,-29.264907804246143,114.92216102607716,1.643447520580476,3.980381489912867,13.58955838521488,223.1333768573624,225.98506800311912,POINT (114.92216102607716 -29.264907804246143),6,4,Western Coasts
465,766,aus1395,0.0677810788283123,0.0349,Medium,0.7978341579437256,1.75600004196167,99.74,-0.3559861623637876,0.4397965148078169,1056.0,5867.826505010181,Southwest WA,WA07.02,WA07.02.05,0.29937,0.7172407159299935,-29.23593707166446,114.91270617865322,1.643447520580476,3.980381489912867,13.58955838521488,223.1333768573624,225.98506800311912,POINT (114.91270617865322 -29.23593707166446),6,4,Western Coasts
466,767,aus1396,0.0674819086357665,0.0389,Medium,0.7996430993080139,1.75600004196167,99.57,-0.355225363163726,0.440949084296057,1022.0,12526.87520980693,Southwest WA,WA07.02,WA07.02.05,0.31208,1.27049224689263,-29.169379196129128,114.88908679781288,1.562311689050516,3.8075414750319543,12.93805405176174,221.48400093076668,224.3267505607286,POINT (114.88908679781288 -29.169379196129128),6,4,Western Coasts
467,768,aus1397,0.0717866652221762,0.0443,Medium,0.8009579181671143,1.6660001277923584,99.55,-0.3550767263862489,0.4423076904165613,1066.0,800.5053059277662,Southwest WA,WA07.02,WA07.02.06,0.31208,42.77910753335132,-29.121279840113232,114.8732300984367,1.562311689050516,3.8075414750319543,12.93805405176174,221.48400093076668,224.3267505607286,POINT (114.8732300984367 -29.121279840113232),6,4,Western Coasts
