,Unnamed: 0,latitude,longitude,d50,beach_slope_average,mstr,code,hs_mean,dir,tp,geometry,index_right,ID_Region,Descriptio,dataset
45,45,-29.477253637336958,153.36101032640616,0.187,0.053267387537331,1.9291316270828247,3.0,1.5885657607544814,117.75991591334112,8.89716783575594,POINT (153.36101032640616 -29.477253637336958),3,2,South-eastern Coasts,Short (2022)
46,46,-35.979845418226645,150.15168157685807,0.2474,0.0695427811142527,1.6423344612121582,3.0,1.2089764137005157,120.25667647494431,8.645725015336325,POINT (150.15168157685807 -35.979845418226645),3,2,South-eastern Coasts,Short (2022)
48,48,-31.45557893417623,152.9326529877071,0.2253,0.0466302226583615,1.858445644378662,3.0,1.558088371434431,121.78934084378714,9.152285121221574,POINT (152.9326529877071 -31.45557893417623),3,2,South-eastern Coasts,Short (2022)
49,49,-35.979845418226645,150.15168157685807,0.2474,0.0695427811142527,1.6423344612121582,3.0,1.2089764137005157,120.25667647494431,8.645725015336325,POINT (150.15168157685807 -35.979845418226645),3,2,South-eastern Coasts,Short (2022)
50,50,-31.52863935597989,152.88170520791715,0.2038,0.0549129804076471,1.858445644378662,3.0,1.558088371434431,121.78934084378714,9.152285121221574,POINT (152.88170520791715 -31.52863935597989),3,2,South-eastern Coasts,Short (2022)
51,51,-28.709881669836463,153.617391934592,0.2583,0.0566291790813288,1.9477856159210205,3.0,1.5856934194020575,117.72073247800144,9.064267031329418,POINT (153.617391934592 -28.709881669836463),3,2,South-eastern Coasts,Short (2022)
56,56,-30.524634335987542,153.02813630945565,0.2672,0.0546265258998007,1.872347116470337,3.0,1.7683353592149118,120.07952190399946,9.331219139943462,POINT (153.02813630945565 -30.524634335987542),3,2,South-eastern Coasts,Short (2022)
57,57,-34.37675013472148,150.9229822427868,0.2188,0.0486137381378755,1.709933161735535,3.0,1.6666094201586537,130.91704183084408,9.10431936624431,POINT (150.9229822427868 -34.37675013472148),3,2,South-eastern Coasts,Short (2022)
58,58,-30.770982382858843,152.9970805680811,0.2359,0.0521540571510045,1.86944317817688,3.0,1.4752543809074743,116.50928660577054,9.15530055458056,POINT (152.9970805680811 -30.770982382858843),3,2,South-eastern Coasts,Short (2022)
59,59,-30.567936866581537,153.01787728228177,0.2411,0.055947893823675,1.873110294342041,3.0,1.4752543809074743,116.50928660577054,9.15530055458056,POINT (153.01787728228177 -30.567936866581537),3,2,South-eastern Coasts,Short (2022)
61,61,-36.5874386871962,150.04537894100127,0.2886,0.0564165300330198,1.6245988607406616,3.0,1.1670105699781936,124.57166059711771,8.516110103165266,POINT (150.04537894100127 -36.5874386871962),3,2,South-eastern Coasts,Short (2022)
63,63,-28.85008812718928,153.60188619287803,0.2944,0.0470310116862742,1.944563388824463,3.0,1.5856934194020575,117.72073247800144,9.064267031329418,POINT (153.60188619287803 -28.85008812718928),3,2,South-eastern Coasts,Short (2022)
64,64,-32.32953829923555,152.53739159534285,0.2743,0.0804624533405942,1.8277947902679443,3.0,1.968312508947377,130.7428891695479,9.313291776417422,POINT (152.53739159534285 -32.32953829923555),3,2,South-eastern Coasts,Short (2022)
66,66,-41.55123417227563,148.28617447807804,0.32086,0.0737519322232065,1.3730920553207395,3.0,1.5505483436959635,152.50325747933095,8.82167745807873,POINT (148.28617447807804 -41.55123417227563),3,2,South-eastern Coasts,Short (2022)
68,68,-32.35240319053649,152.5373088662442,0.3345,0.0626350733891946,1.822474718093872,3.0,1.968312508947377,130.7428891695479,9.313291776417422,POINT (152.5373088662442 -32.35240319053649),3,2,South-eastern Coasts,Short (2022)
69,69,-33.645373543002705,151.32888124519192,0.277,0.0624682750990318,1.744775652885437,3.0,1.4340967057712255,131.46454218568243,8.956954446706074,POINT (151.32888124519192 -33.645373543002705),3,2,South-eastern Coasts,Short (2022)
70,70,-27.58140574067936,153.48675532264684,0.27932,0.0476401622067679,1.9926892518997192,3.0,1.1393276672280073,105.53384222767656,8.728909793526125,POINT (153.48675532264684 -27.58140574067936),3,2,South-eastern Coasts,Short (2022)
72,72,-30.24180477174501,153.14878252423478,0.3226,0.1009278586158199,1.8887872695922847,3.0,1.6351264182080314,117.6059020626407,8.9323807098709,POINT (153.14878252423478 -30.24180477174501),3,2,South-eastern Coasts,Short (2022)
76,76,-32.44434617409556,152.52842328112985,0.3209,0.0530274765112083,1.8142203092575075,3.0,1.968312508947377,130.7428891695479,9.313291776417422,POINT (152.52842328112985 -32.44434617409556),3,2,South-eastern Coasts,Short (2022)
78,78,-36.09884152387326,150.13728384374852,0.3162,0.0707256954209913,1.6402859687805176,3.0,1.2089764137005157,120.25667647494431,8.645725015336325,POINT (150.13728384374852 -36.09884152387326),3,2,South-eastern Coasts,Short (2022)
80,80,-33.315870217955364,151.5284973395937,0.2952,0.0718907909673643,1.7640659809112549,3.0,1.4340967057712255,131.46454218568243,8.956954446706074,POINT (151.5284973395937 -33.315870217955364),3,2,South-eastern Coasts,Short (2022)
82,82,-35.262582951450526,150.51605831892667,0.2755,0.0583295815825457,1.6648530960083008,3.0,1.7771442865702658,132.2892833446387,8.96398193267294,POINT (150.51605831892667 -35.262582951450526),3,2,South-eastern Coasts,Short (2022)
83,83,-35.424159957723695,150.42209728576583,0.348,0.0656964202515323,1.6633272171020508,3.0,1.7771442865702658,132.2892833446387,8.96398193267294,POINT (150.42209728576583 -35.424159957723695),3,2,South-eastern Coasts,Short (2022)
84,84,-33.15141319062137,151.63206897560815,0.2738,0.0622164507384789,1.770847201347351,3.0,1.0837601818365374,135.5693746786204,8.297102824854582,POINT (151.63206897560815 -33.15141319062137),3,2,South-eastern Coasts,Short (2022)
85,85,-33.65414594872284,151.3240227962441,0.342,0.0755302808013693,1.744775652885437,3.0,1.4340967057712255,131.46454218568243,8.956954446706074,POINT (151.3240227962441 -33.65414594872284),3,2,South-eastern Coasts,Short (2022)
87,87,-37.777913858537055,149.1997886553863,0.31208,0.0815621935855792,1.465582013130188,3.0,1.588016870734491,164.98466028469846,8.552663186124715,POINT (149.1997886553863 -37.777913858537055),3,2,South-eastern Coasts,Short (2022)
92,92,-36.867349260589535,149.93478180955557,0.4161,0.0829153115022758,1.621299386024475,3.0,1.7136635028121476,129.01831678708805,8.706681241881789,POINT (149.93478180955557 -36.867349260589535),3,2,South-eastern Coasts,Short (2022)
97,97,-35.01463885808821,150.8170326414339,0.3693,0.0682865379552594,1.6899722814559937,3.0,1.7055055760492084,130.4576997757564,8.915941497395588,POINT (150.8170326414339 -35.01463885808821),3,2,South-eastern Coasts,Short (2022)
98,98,-37.77671316206981,149.34964685616242,0.374,0.058318787851587,1.4885696172714231,3.0,1.8676284982662483,157.68964414629266,8.776856373018948,POINT (149.34964685616242 -37.77671316206981),3,2,South-eastern Coasts,Short (2022)
