,hs_max,hs_mean,dir,tp,d50,beach_slope_average,dataset,mstr,latitude,longitude
50,0.7356019635029033,0.6390274835317944,60.27342813436609,8.540567375282537,0.370881696,0.08685,rossi,1.525213599205017,28.66772283935143,-80.61955413339143
51,1.004451940049993,0.8460101333744513,67.13921842239485,7.381619050040928,0.384493163,0.10016,rossi,1.134653925895691,26.60148508610107,-80.01782905150324
52,0.4729160391031015,0.404746859501487,91.13334352360148,7.951358770410706,0.283621607,0.0541238670694864,rossi,2.124904155731201,30.36134834453994,-81.39595038096763
53,0.9763576107913892,0.7922707911699475,125.6077746139442,7.77203460665274,0.34425304,0.0710374639769452,"McFall, 2022",1.4569417238235474,38.25821801475023,-75.09712201782015
54,0.6902174349075203,0.6009565684992211,75.0840594117278,8.466280994110042,0.303346223,0.0968870967741935,rossi,1.4248559474945068,27.797386800753053,-80.40528960877162
55,0.7784284039910777,0.6284871364411557,126.447502250626,7.960418044905962,0.34425304,0.0710374639769452,"McFall, 2022",1.4569417238235474,38.29049107508352,-75.09758929569821
56,1.0051008614336496,0.8449705460794505,66.43271438219855,7.356746820338904,0.384493163,0.10016,rossi,1.134653925895691,26.567699898011263,-80.01783293400678
57,0.7617994739661521,0.6121665186453761,125.9335392544243,7.892468083914034,0.34425304,0.0710374639769452,"McFall, 2022",1.4569417238235474,38.22637461288316,-75.12978945282919
58,1.004451940049993,0.8460101333744513,67.13921842239485,7.381619050040928,0.384493163,0.10016,rossi,1.134653925895691,26.599456735816155,-80.0178313582033
59,0.9763576107913892,0.7922707911699475,125.6077746139442,7.77203460665274,0.34425304,0.0710374639769452,"McFall, 2022",1.4569417238235474,38.25821801475023,-75.09712201782015
60,0.7784284039910777,0.6284871364411557,126.447502250626,7.960418044905962,0.34425304,0.0865689655172413,"McFall, 2022",1.4738866090774536,38.35981642074263,-75.06314078198085
61,1.0427926495696076,0.8494386132105933,85.68636323989152,8.071005032770712,0.39578605,0.0891428571428571,"McFall, 2022",1.3962838649749756,36.13139578433153,-75.6955506653658
62,0.7784284039910777,0.6284871364411557,126.447502250626,7.960418044905962,0.34425304,0.0865689655172413,"McFall, 2022",1.4738866090774536,38.35935095614086,-75.06328053958067
63,1.0427926495696076,0.8494386132105933,85.68636323989152,8.071005032770712,0.403,0.0891428571428571,"McFall, 2022",1.3962838649749756,36.13243648034452,-75.6960981794282
64,0.7617994739661521,0.6121665186453761,125.9335392544243,7.892468083914034,0.34425304,0.0873351648351648,"McFall, 2022",1.45314621925354,38.16844274243088,-75.15374324246677
65,0.707502433572865,0.60849789932984,79.00368608240791,8.046924623584301,0.456290494,0.1050727272727272,rossi,1.3753461837768557,27.531483315937702,-80.28853488047338
66,0.7263213855425577,0.6235189848926497,92.73776458866874,7.790013168104234,0.283621607,0.0773514851485148,rossi,2.235518455505371,30.414297333934247,-81.38705414596299
67,0.7617994739661521,0.6121665186453761,125.9335392544243,7.892468083914034,0.34425304,0.0865689655172413,"McFall, 2022",1.4738866090774536,38.29291569830855,-75.09654075907385
68,0.9946531993937119,0.8404930213847897,70.38163475460331,7.378286800628523,0.38,0.11370757180156657,Briggs (2022),1.1856229305267334,26.796268265070964,-80.02218557967015
69,0.7356019635029033,0.6390274835317944,60.27342813436609,8.540567375282537,0.409810217,0.08685,rossi,1.525213599205017,28.666382560974206,-80.6186109401168
70,0.7892838512287211,0.689179061449653,82.28026782577199,8.460179376656988,0.370881696,0.08685,rossi,1.525213599205017,28.63419723953917,-80.58608717997254
71,0.7349665188107917,0.6389616039705425,78.06478746736119,8.258643203232012,0.359741356,0.0968870967741935,rossi,1.4248559474945068,27.83336842402398,-80.40671128914599
72,0.7892838512287211,0.689179061449653,82.28026782577199,8.460179376656988,0.370881696,0.08685,rossi,1.525213599205017,28.63419723953917,-80.58608717997254
73,0.9946531993937119,0.8404930213847897,70.38163475460331,7.378286800628523,0.38,0.11370757180156657,Briggs (2022),1.1856229305267334,26.796268265070964,-80.02218557967015
74,0.9946531993937119,0.8404930213847897,70.38163475460331,7.378286800628523,0.38,0.11370757180156657,Briggs (2022),1.1856229305267334,26.7958299526451,-80.0220641217073
75,0.6902174349075203,0.6009565684992211,75.0840594117278,8.466280994110042,0.334258052,0.0968870967741935,rossi,1.4248559474945068,27.79718500297364,-80.40517563751055
76,1.0006992626877214,0.8474980075990654,70.705740359853,7.39976746787438,0.38,0.11370757180156657,Briggs (2022),1.1856229305267334,26.829823818873855,-80.02223257509445
77,0.7465176890548081,0.6467845515674834,81.12939452421672,8.240016766232861,0.374238708,0.0793715846994535,rossi,1.463911533355713,28.020776633362345,-80.50433590671567
78,0.9763576107913892,0.7922707911699475,125.6077746139442,7.77203460665274,0.34425304,0.0710374639769452,"McFall, 2022",1.4569417238235474,38.25843018148353,-75.09702740211954
79,0.6902174349075203,0.6009565684992211,75.0840594117278,8.466280994110042,0.326925749,0.0968870967741935,rossi,1.4248559474945068,27.79820015403223,-80.40573039422668
80,0.7356019635029033,0.6390274835317944,60.27342813436609,8.540567375282537,0.413519588,0.08685,rossi,1.525213599205017,28.66543822182748,-80.61791393958646
81,0.7784284039910777,0.6284871364411557,126.447502250626,7.960418044905962,0.34425304,0.0710374639769452,"McFall, 2022",1.4569417238235474,38.290278652396125,-75.09768095504768
82,0.7070549709039797,0.6078152818925082,87.64787125636957,7.904643339887156,0.329656322,0.0671771771771772,rossi,1.4823716878890991,28.1629119513793,-80.56235294076441
83,0.7617994739661521,0.6121665186453761,125.9335392544243,7.892468083914034,0.34425304,0.0873351648351648,"McFall, 2022",1.45314621925354,38.16994747293502,-75.15326282476194
84,0.7784284039910777,0.6284871364411557,126.447502250626,7.960418044905962,0.34425304,0.0710374639769452,"McFall, 2022",1.4569417238235474,38.290278652396125,-75.09768095504768
85,0.6902174349075203,0.6009565684992211,75.0840594117278,8.466280994110042,0.327379269,0.0968870967741935,rossi,1.4248559474945068,27.798810774841144,-80.40605950205406
86,0.9763576107913892,0.7922707911699475,125.6077746139442,7.77203460665274,0.34425304,0.0865689655172413,"McFall, 2022",1.4738866090774536,38.32671672474082,-75.06307912370968
87,1.0051008614336496,0.8449705460794505,66.43271438219855,7.356746820338904,0.384493163,0.10016,rossi,1.134653925895691,26.567699898011263,-80.01783293400678
88,0.6495381091771704,0.5618537251260445,86.18452297098833,7.704213030948553,0.356514388,0.0793715846994535,rossi,1.463911533355713,28.054110413362345,-80.53766873171567
89,0.7356019635029033,0.6390274835317944,60.27342813436609,8.540567375282537,0.333332596,0.08685,rossi,1.525213599205017,28.666382560974206,-80.6186109401168
90,0.7077579742128594,0.6115403539849881,93.86267862932162,8.188917632072936,0.456606873,0.0621824104234527,rossi,1.4877971410751345,28.336545714347192,-80.5687027947483
91,0.6185967365072935,0.5332213720883727,81.61306003890459,7.784448472300486,0.369598571,0.1035138888888888,rossi,1.333489179611206,27.429493222993862,-80.26208794771492
92,0.6902174349075203,0.6009565684992211,75.0840594117278,8.466280994110042,0.359492094,0.0968870967741935,rossi,1.4248559474945068,27.79758841999537,-80.40540401719511
93,0.6902174349075203,0.6009565684992211,75.0840594117278,8.466280994110042,0.296486427,0.0968870967741935,rossi,1.4248559474945068,27.797386800753053,-80.40528960877162
94,0.7784284039910777,0.6284871364411557,126.447502250626,7.960418044905962,0.34425304,0.0710374639769452,"McFall, 2022",1.4569417238235474,38.29070326836987,-75.0974969977517
95,0.7275866765486475,0.6246205102542133,93.6602453700255,7.800481776370628,0.283621607,0.0541238670694864,rossi,2.124904155731201,30.325541588652825,-81.36227219741345
96,0.6947499459777652,0.578760488058632,110.65825628944484,8.565344889439313,0.346774331,0.0748888888888889,"McFall, 2022",1.3353363275527954,35.549665469961035,-75.4632772408448
97,0.7356019635029033,0.6390274835317944,60.27342813436609,8.540567375282537,0.333332596,0.08685,rossi,1.525213599205017,28.666382560974206,-80.6186109401168
98,0.7356019635029033,0.6390274835317944,60.27342813436609,8.540567375282537,0.370881696,0.08685,rossi,1.525213599205017,28.66772283935143,-80.61955413339143
99,0.9307670649903697,0.7491107948371335,153.42697539203652,7.742272068428127,0.284,0.0586610169491525,"McFall, 2022",1.3458420038223269,35.17755683828855,-75.75674611240572
100,1.048334047353491,0.8910086978532785,69.04470787859582,7.591386221397252,0.58,0.11370757180156657,Briggs (2022),1.1856229305267334,26.896932218698968,-80.02233579740187
101,0.5501444327334655,0.4692840592777227,79.67774352801902,8.101661241960947,0.48130484,0.0965948275862068,rossi,1.3000760078430176,27.25402963661965,-80.19312790096579
102,0.8990692700539583,0.7323941718243875,81.75798945769014,8.182744283337204,0.543330732,0.0905333333333333,"McFall, 2022",1.4014217853546145,35.94962370233768,-75.61244712207522
103,1.0006992626877214,0.8474980075990654,70.705740359853,7.39976746787438,0.58,0.11370757180156657,Briggs (2022),1.1856229305267334,26.82938321313197,-80.0221231256302
104,0.7223644836972101,0.6204012681383656,75.0685407072079,8.036664212342586,0.484316695,0.0965948275862068,rossi,1.3000760078430176,27.2229274833474,-80.16101221870537
105,0.7223644836972101,0.6204012681383656,75.0685407072079,8.036664212342586,0.484316695,0.0965948275862068,rossi,1.3000760078430176,27.2229274833474,-80.16101221870537
106,0.6662104106854553,0.5696098528949157,76.62325935145181,8.023123480519143,0.484316695,0.0965948275862068,rossi,1.3000760078430176,27.290001041015987,-80.19456352671317
107,0.505503646240051,0.390445282363263,173.00315687535632,6.088408955100411,0.621131371,0.039584487534626,"McFall, 2022",2.037958860397339,33.83809524756687,-78.3450515001827
108,0.7223644836972101,0.6204012681383656,75.0685407072079,8.036664212342586,0.506635907,0.0965948275862068,rossi,1.3000760078430176,27.221918406789342,-80.1604465335241
109,0.9946531993937119,0.8404930213847897,70.38163475460331,7.378286800628523,0.58,0.11370757180156657,Briggs (2022),1.1856229305267334,26.79604943813197,-80.0221231256302
110,0.8169551042938676,0.6800988337830336,71.26726427798752,7.0919312120651465,0.476595228,0.10125,"McFall, 2022",1.0887861251831057,26.28124691062262,-80.07150353855548
111,0.600969474919983,0.4766085295643676,154.92607836651752,6.717245365718594,0.621131371,0.0306428571428571,"McFall, 2022",2.0169217586517334,33.85611347971707,-78.5202385738757
112,0.6662104106854553,0.5696098528949157,76.62325935145181,8.023123480519143,0.484316695,0.0965948275862068,rossi,1.3000760078430176,27.290001041015987,-80.19456352671317
113,0.7408851428338762,0.5953240447289335,150.69225645704432,7.437079338641836,0.59725415,0.0501675977653631,"McFall, 2022",1.6964056491851809,34.485374517013604,-77.37650887445946
114,0.8169551042938676,0.6800988337830336,71.26726427798752,7.0919312120651465,0.476595228,0.10125,"McFall, 2022",1.0887861251831057,26.279897330120217,-80.07163032657104
115,1.048334047353491,0.8910086978532785,69.04470787859582,7.591386221397252,0.58,0.11370757180156657,Briggs (2022),1.1856229305267334,26.896713867921882,-80.02227084960185
116,0.721499299819714,0.5883980907908228,144.7614314272851,7.584594398365246,0.59725415,0.0551052631578947,"McFall, 2022",1.6814781427383425,34.4807334218967,-77.40557415158571
117,0.8990692700539583,0.7323941718243875,81.75798945769014,8.182744283337204,0.543330732,0.0905333333333333,"McFall, 2022",1.4014217853546145,35.951034641295976,-75.61330431172497
118,0.5501444327334655,0.4692840592777227,79.67774352801902,8.101661241960947,0.484316695,0.0965948275862068,rossi,1.3000760078430176,27.25666821601599,-80.19456352671317
119,0.9946531993937119,0.8404930213847897,70.38163475460331,7.378286800628523,0.58,0.11370757180156657,Briggs (2022),1.1856229305267334,26.7953815329162,-80.02199559455275
120,0.5861416575121088,0.4688269430713779,147.38029921763348,6.604736574882169,0.621131371,0.0306428571428571,"McFall, 2022",2.0169217586517334,33.82308316815009,-78.61787100045902
