,Sid,Sur,Yr,Sea,Tran,Lat,Lon,Dep,Ele,Type,eMean,gMean,gMed,dataset,PROJECT ,SITE,Year,DATE,TRANSECT,d95,Mean,Std,Skewness,Kurtosis,Contact,Unnamed: 0.1,Unnamed: 0,Sample_ID,Sample_Type_Code,Project,Date,Location_Type,num_orig_dists,Measured_Distributions,Grainsize,Median,Wentworth,Kurtosis_Class,Skewness_Class,Sorting,d5,d10,d16,d25,d30,d50,d65,d75,d84,d90,Notes,geometry
99,100.0,K,,,162.0,34.0457,-118.9316,0.0,BF,E,0.3734,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,101.0,K,,,164.0,34.0425,-118.9162,0.0,BF,E,0.3838,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,102.0,K,,,166.0,34.0392,-118.8931,0.0,BF,E,0.3171,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,103.0,K,,,167.0,34.038,-118.8755,0.0,BF,E,0.3495,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,104.0,K,,,168.0,34.0378,-118.8742,0.0,BF,E,0.2673,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,105.0,K,,,169.0,34.0351,-118.8563,0.0,BF,E,0.2085,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,106.0,K,,,171.0,34.028,-118.8409,0.0,BF,E,0.2369,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,107.0,K,,,172.0,34.0219,-118.8324,0.0,BF,E,0.2767,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,108.0,K,,,173.0,34.0163,-118.8247,0.0,BF,E,0.2719,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,109.0,K,,,174.0,34.0125,-118.8197,0.0,BF,E,0.4113,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,110.0,K,,,175.0,34.0025,-118.8098,0.0,BF,E,0.4802,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,111.0,K,,,176.0,34.0012,-118.8079,0.0,BF,E,0.5593,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,112.0,S,6.0,W,,34.41658,-119.83139,0.0,BF,E,0.3433,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,113.0,S,6.0,W,,34.41644,-119.82836,0.0,BF,E,0.3131,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,114.0,S,6.0,W,,34.41636,-119.8295,0.0,BF,E,0.2359,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,115.0,S,6.0,W,,34.41636,-119.83056,0.0,BF,E,0.3409,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,116.0,S,6.0,W,,34.41614,-119.83275,0.0,BF,E,0.2705,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,117.0,S,6.0,W,,34.41592,-119.83383,0.0,BF,E,0.2999,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,118.0,S,6.0,W,,34.41567,-119.83483,0.0,BF,E,0.254,,,Barnard_Santa_Barbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
