,Unnamed: 0,latitude,longitude,d50,beach_slope_average,mstr,code,hs_mean,dir,tp,geometry,index_right,ID_Region,Descriptio
260,260,-32.13083107703837,133.67166289129557,0.8827,0.0586698945082906,1.9224176406860352,3.0,2.0437051709608745,213.3745320461433,12.697815894164146,POINT (133.67166289129557 -32.13083107703837),5,3,Southern Coasts
261,261,-35.018653364335954,136.9457564803239,0.89503,0.0639401965944118,1.2797348499298096,3.0,1.5173056677491816,226.71932338678585,12.433300030074244,POINT (136.9457564803239 -35.018653364335954),5,3,Southern Coasts
263,263,-35.018653364335954,136.9457564803239,0.89503,0.0639401965944118,1.2797348499298096,3.0,1.5173056677491816,226.71932338678585,12.433300030074244,POINT (136.9457564803239 -35.018653364335954),5,3,Southern Coasts
264,264,-32.12384350915691,133.6715126861715,0.8827,0.0786120174988262,1.9224176406860352,3.0,2.0437051709608745,213.3745320461433,12.697815894164146,POINT (133.6715126861715 -32.12384350915691),5,3,Southern Coasts
265,265,-32.13083107703837,133.67166289129557,0.8827,0.0586698945082906,1.9224176406860352,3.0,2.0437051709608745,213.3745320461433,12.697815894164146,POINT (133.67166289129557 -32.13083107703837),5,3,Southern Coasts
266,266,-32.13083107703837,133.67166289129557,0.8827,0.0586698945082906,1.9224176406860352,3.0,2.0437051709608745,213.3745320461433,12.697815894164146,POINT (133.67166289129557 -32.13083107703837),5,3,Southern Coasts
270,270,-33.441978576523454,134.8415906846822,0.99309,0.053449048873939,1.6089892387390137,3.0,2.3077634454106657,222.0311264582436,13.13879958849274,POINT (134.8415906846822 -33.441978576523454),5,3,Southern Coasts
271,271,-34.07237037472621,137.55235189354272,0.90752,0.0298389492806141,1.517688870429993,3.0,0.8485467713695493,208.8064091847542,8.462415243883177,POINT (137.55235189354272 -34.07237037472621),5,3,Southern Coasts
276,276,-32.15050586822038,133.68598703787995,0.93303,0.0492058227886533,1.9224176406860352,3.0,2.0437051709608745,213.3745320461433,12.697815894164146,POINT (133.68598703787995 -32.15050586822038),5,3,Southern Coasts
278,278,-33.441978576523454,134.8415906846822,0.99309,0.053449048873939,1.6089892387390137,3.0,2.3077634454106657,222.0311264582436,13.13879958849274,POINT (134.8415906846822 -33.441978576523454),5,3,Southern Coasts
280,280,-32.15050586822038,133.68598703787995,0.93303,0.0492058227886533,1.9224176406860352,3.0,2.0437051709608745,213.3745320461433,12.697815894164146,POINT (133.68598703787995 -32.15050586822038),5,3,Southern Coasts
281,281,-32.15050586822038,133.68598703787995,0.93303,0.0492058227886533,1.9224176406860352,3.0,2.0437051709608745,213.3745320461433,12.697815894164146,POINT (133.68598703787995 -32.15050586822038),5,3,Southern Coasts
282,282,-33.441978576523454,134.8415906846822,0.99309,0.053449048873939,1.6089892387390137,3.0,2.3077634454106657,222.0311264582436,13.13879958849274,POINT (134.8415906846822 -33.441978576523454),5,3,Southern Coasts
285,285,-32.15050586822038,133.68598703787995,0.93303,0.0492058227886533,1.9224176406860352,3.0,2.0437051709608745,213.3745320461433,12.697815894164146,POINT (133.68598703787995 -32.15050586822038),5,3,Southern Coasts
293,293,-32.717920191674715,134.10745301649698,0.92019,0.0552017881382549,1.864342212677002,3.0,1.4044196759895384,216.8987201168238,12.325971950739708,POINT (134.10745301649698 -32.717920191674715),5,3,Southern Coasts
294,294,-32.15050586822038,133.68598703787995,0.93303,0.0492058227886533,1.9224176406860352,3.0,2.0437051709608745,213.3745320461433,12.697815894164146,POINT (133.68598703787995 -32.15050586822038),5,3,Southern Coasts
295,295,-32.15050586822038,133.68598703787995,0.93303,0.0492058227886533,1.9224176406860352,3.0,2.0437051709608745,213.3745320461433,12.697815894164146,POINT (133.68598703787995 -32.15050586822038),5,3,Southern Coasts
298,298,-32.15050586822038,133.68598703787995,0.93303,0.0492058227886533,1.9224176406860352,3.0,2.0437051709608745,213.3745320461433,12.697815894164146,POINT (133.68598703787995 -32.15050586822038),5,3,Southern Coasts
