,Unnamed: 0,latitude,longitude,d50,beach_slope_average,mstr,code,hs_mean,dir,tp,geometry,index_right,ID_Region,Descriptio
138,138,-24.379490575987656,113.40341054926732,0.48633,0.0705836396619671,1.4077632427215576,3.0,1.595227940579955,217.22332450405875,13.007287756882874,POINT (113.40341054926732 -24.379490575987656),6,4,Western Coasts
140,140,-24.169492578121087,113.44408501361214,0.48297,0.1049062537533021,1.4039206504821775,3.0,1.595227940579955,217.22332450405875,13.007287756882874,POINT (113.44408501361214 -24.169492578121087),6,4,Western Coasts
143,143,-24.379490575987656,113.40341054926732,0.48633,0.0705836396619671,1.4077632427215576,3.0,1.595227940579955,217.22332450405875,13.007287756882874,POINT (113.40341054926732 -24.379490575987656),6,4,Western Coasts
147,147,-28.912986724323865,114.67110976538802,0.52486,0.0697715638472984,0.8090493083000183,3.0,2.274972238205751,212.92032392367284,13.016665226082582,POINT (114.67110976538802 -28.912986724323865),6,4,Western Coasts
151,151,-28.40202382112007,114.44127542399424,0.59874,0.0573513527916073,0.8318844437599182,3.0,1.7470381968223732,211.90433847698608,12.084757881783332,POINT (114.44127542399424 -28.40202382112007),6,4,Western Coasts
165,165,-28.40202382112007,114.44127542399424,0.59874,0.0573513527916073,0.8318844437599182,3.0,1.7470381968223732,211.90433847698608,12.084757881783332,POINT (114.44127542399424 -28.40202382112007),6,4,Western Coasts
167,167,-24.030322331817032,113.44919044403042,0.62851,0.0767387430238903,1.407871127128601,3.0,1.595227940579955,217.22332450405875,13.007287756882874,POINT (113.44919044403042 -24.030322331817032),6,4,Western Coasts
182,182,-21.907508765486558,114.14367799848084,0.67362,0.0837067905836659,2.125734567642212,3.0,1.4983286174505548,219.8579516293634,13.071502513428744,POINT (114.14367799848084 -21.907508765486558),6,4,Western Coasts
195,195,-33.88239627758988,114.98326015443308,0.67362,0.0396576411347373,0.8342962861061096,3.0,2.4009476406506454,224.9381369032337,12.790937962693256,POINT (114.98326015443308 -33.88239627758988),6,4,Western Coasts
214,214,-23.950818117841514,113.46897879972708,0.72699,0.0652920474587695,1.4131911993026731,3.0,1.595227940579955,217.22332450405875,13.007287756882874,POINT (113.46897879972708 -23.950818117841514),6,4,Western Coasts
219,219,-23.950818117841514,113.46897879972708,0.72699,0.0652920474587695,1.4131911993026731,3.0,1.595227940579955,217.22332450405875,13.007287756882874,POINT (113.46897879972708 -23.950818117841514),6,4,Western Coasts
221,221,-21.814879805721315,114.17212736607648,0.76313,0.1096917805283192,1.996061444282532,3.0,1.4983286174505548,219.8579516293634,13.071502513428744,POINT (114.17212736607648 -21.814879805721315),6,4,Western Coasts
222,222,-23.950818117841514,113.46897879972708,0.72699,0.0652920474587695,1.4131911993026731,3.0,1.595227940579955,217.22332450405875,13.007287756882874,POINT (113.46897879972708 -23.950818117841514),6,4,Western Coasts
225,225,-21.814879805721315,114.17212736607648,0.76313,0.1096917805283192,1.996061444282532,3.0,1.4983286174505548,219.8579516293634,13.071502513428744,POINT (114.17212736607648 -21.814879805721315),6,4,Western Coasts
231,231,-23.950818117841514,113.46897879972708,0.72699,0.0652920474587695,1.4131911993026731,3.0,1.595227940579955,217.22332450405875,13.007287756882874,POINT (113.46897879972708 -23.950818117841514),6,4,Western Coasts
232,232,-21.814879805721315,114.17212736607648,0.76313,0.1096917805283192,1.996061444282532,3.0,1.4983286174505548,219.8579516293634,13.071502513428744,POINT (114.17212736607648 -21.814879805721315),6,4,Western Coasts
