ID,Sample_ID,Sample_Type_Code,Project,dataset,Date,Location_Type,latitude,longitude,Contact,num_orig_dists,Measured_Distributions,Grainsize,Mean,Median,Wentworth,Kurtosis,Kurtosis_Class,Skewness,Skewness_Class,Std,Sorting,d5,d10,d16,d25,d30,d50,d65,d75,d84,d90,d95,Notes
239150,,1,,UMASS,9/19/2014,low tide,41.40914,-70.53813,"Jonathan Woodruff, UMASS",0,,,0.798064036,,CoarseSand,1.121668915,Leptokurtic,0.49920751,VeryCoarseSkewed,0.661286098,VeryWellSorted,0.3425,0.476774194,0.59,0.696930693,0.734731707,0.855323944,,0.968,1.007234469,1.03008016,1.049118236,Season: summer; Beach Face: 0.116; Transect: A
239151,,1,,UMASS,3/23/2015,high tide,41.40923,-70.53835,"Jonathan Woodruff, UMASS",0,,,0.732536059,,CoarseSand,0.881868608,Platykurtic,0.506141598,VeryCoarseSkewed,0.733991805,VeryWellSorted,0.42,0.506428571,0.570714286,0.64112426,0.676627219,0.771962617,,0.864895636,0.892220114,0.910436433,0.925616698,Season: winter; Beach Face: 0.137; Transect: A
239152,,1,,UMASS,3/23/2015,mid tide ,41.40925,-70.53833,"Jonathan Woodruff, UMASS",0,,,0.555143152,,CoarseSand,0.707639343,Platykurtic,0.522365579,VeryCoarseSkewed,0.609948317,VeryWellSorted,0.261363636,0.311940299,0.357241379,0.428971963,0.46635514,0.602258065,,0.750871212,0.795189394,0.824734848,0.848328767,Season: winter; Beach Face: 0.137; Transect: A
239153,,1,,UMASS,3/23/2015,low tide,41.40929,-70.53831,"Jonathan Woodruff, UMASS",0,,,0.523229286,,CoarseSand,0.702066574,Platykurtic,0.534996045,VeryCoarseSkewed,0.628948575,VeryWellSorted,0.259183673,0.306666667,0.346666667,0.41010101,0.44304,0.561666667,,0.695663717,0.735673981,0.760125392,0.780501567,Season: winter; Beach Face: 0.137; Transect: A
241357,,1,,UMASS,3/23/2015,toe of dune,41.41086,-70.54172,"Jonathan Woodruff, UMASS",0,,,0.502836579,,CoarseSand,0.809367785,Platykurtic,0.517952874,VeryCoarseSkewed,0.74807177,VeryWellSorted,0.309090909,0.353365385,0.39375,0.441139896,0.461865285,0.527931034,,0.592162162,0.611621622,0.624594595,0.635405405,Season: winter; Beach Face: 0.138; Transect: B
241358,,1,,UMASS,9/19/2014,back berm,41.41091,-70.54168,"Jonathan Woodruff, UMASS",0,,,0.392357571,,MediumSand,0.687917276,Platykurtic,0.610241798,VeryCoarseSkewed,0.714801624,VeryWellSorted,0.234347826,0.266494845,0.29742268,0.326234568,0.341666667,0.4040625,,0.477060932,0.502601156,0.518208092,0.531213873,Season: summer; Beach Face: 0.128; Transect: B
241359,,1,,UMASS,3/23/2015,back berm,41.41091,-70.54167,"Jonathan Woodruff, UMASS",0,,,0.350334906,,MediumSand,0.732325444,Platykurtic,0.613955719,VeryCoarseSkewed,0.751814054,VeryWellSorted,0.225081967,0.254477612,0.276865672,0.306086957,0.316956522,0.360181818,,0.413212121,0.431180723,0.442746988,0.452385542,Season: winter; Beach Face: 0.138; Transect: B
241360,,1,,UMASS,9/19/2014,high tide,41.41094,-70.54164,"Jonathan Woodruff, UMASS",0,,,0.579317615,,CoarseSand,0.70938911,Platykurtic,0.524969123,VeryCoarseSkewed,0.645346116,VeryWellSorted,0.296875,0.342105263,0.3925,0.461454545,0.497818182,0.622121212,,0.756428571,0.79622449,0.822755102,0.84373673,Season: summer; Beach Face: 0.128; Transect: B
241361,,1,,UMASS,9/19/2014,mid tide ,41.41097,-70.54161,"Jonathan Woodruff, UMASS",0,,,0.421775037,,MediumSand,0.655817931,VeryPlatykurtic,0.633339196,VeryCoarseSkewed,0.68963012,VeryWellSorted,0.244594595,0.278125,0.309191176,0.342279412,0.360797872,0.434841629,,0.525403226,0.558064516,0.57983871,0.599134948,Season: summer; Beach Face: 0.128; Transect: B
241362,,1,,UMASS,9/19/2014,low tide,41.411,-70.54158,"Jonathan Woodruff, UMASS",0,,,0.543612118,,CoarseSand,0.634277716,VeryPlatykurtic,0.621729151,VeryCoarseSkewed,0.592122315,VeryWellSorted,0.260784314,0.30617284,0.343209877,0.402169811,0.435333333,0.570227273,,0.759263158,0.820842105,0.858351254,0.88702509,Season: summer; Beach Face: 0.128; Transect: B
241363,,1,,UMASS,3/23/2015,high tide,41.41102,-70.54156,"Jonathan Woodruff, UMASS",0,,,0.619637392,,CoarseSand,0.764270065,Platykurtic,0.48475535,VeryCoarseSkewed,0.63046487,VeryWellSorted,0.295,0.347959184,0.410597015,0.494482759,0.533846154,0.679122807,,0.811439394,0.853195876,0.877938144,0.898556701,Season: winter; Beach Face: 0.138; Transect: B
241364,,1,,UMASS,3/23/2015,mid tide ,41.41104,-70.54154,"Jonathan Woodruff, UMASS",0,,,0.678073011,,CoarseSand,0.79420875,Platykurtic,0.454841052,VeryCoarseSkewed,0.604478483,VeryWellSorted,0.294444444,0.356363636,0.431594203,0.532823529,0.585764706,0.761071429,,0.904691358,0.949135802,0.978765432,1.002829787,Season: winter; Beach Face: 0.138; Transect: B
241365,,1,,UMASS,3/23/2015,low tide,41.41107,-70.54151,"Jonathan Woodruff, UMASS",0,,,0.589082502,,CoarseSand,0.643907655,VeryPlatykurtic,0.566439548,VeryCoarseSkewed,0.55266001,VeryWellSorted,0.254,0.302857143,0.345714286,0.42,0.462105263,0.636451613,,0.858128079,0.929064039,0.97635468,1.013148789,Season: winter; Beach Face: 0.138; Transect: B
