,Sample_ID,d50,dataset,Date,tanBeta,latitude,longitude,geometry,dir,hs_mean,hs_max,tp,dist
1123,15600,0.44442914194082794,rossi,1995-01-06,0.105,27.0525,-80.10833000000001,POINT (-80.10833000000001 27.0525),67.7324996,1.147499993,1.4400000569999998,5.642499924,0.04406216312515711
1124,15607,0.35602050759740894,rossi,1995-01-06,0.105,27.0525,-80.10833000000001,POINT (-80.10833000000001 27.0525),67.7324996,1.147499993,1.4400000569999998,5.642499924,0.04406216312515711
1125,15609,0.31557088629029306,rossi,1995-01-06,0.105,27.0525,-80.10833000000001,POINT (-80.10833000000001 27.0525),67.7324996,1.147499993,1.4400000569999998,5.642499924,0.04406216312515711
1126,15604,0.39832798448107504,rossi,1995-01-06,0.105,27.0525,-80.10833000000001,POINT (-80.10833000000001 27.0525),67.7324996,1.147499993,1.4400000569999998,5.642499924,0.04406216312515711
1127,15602,0.504183701017726,rossi,1995-01-06,0.105,27.0525,-80.10833000000001,POINT (-80.10833000000001 27.0525),67.7324996,1.147499993,1.4400000569999998,5.642499924,0.04406216312515711
1128,15606,0.135565539784032,rossi,1995-01-06,0.105,27.0525,-80.10833000000001,POINT (-80.10833000000001 27.0525),67.7324996,1.147499993,1.4400000569999998,5.642499924,0.04406216312515711
1130,15572,0.337049867032912,rossi,1995-01-06,0.11,27.09,-80.12722,POINT (-80.12721999999999 27.09),66.17375088,0.8612500059999999,1.080000043,5.533749997999999,0.0436510924883098
1131,15576,0.39888055528351396,rossi,1995-01-06,0.11,27.09,-80.12722,POINT (-80.12721999999999 27.09),66.17375088,0.8612500059999999,1.080000043,5.533749997999999,0.0436510924883098
1132,15579,0.30694176801455103,rossi,1995-01-06,0.11,27.09,-80.12722,POINT (-80.12721999999999 27.09),66.17375088,0.8612500059999999,1.080000043,5.533749997999999,0.0436510924883098
1133,15580,0.350147033698226,rossi,1995-01-06,0.11,27.09,-80.12722,POINT (-80.12721999999999 27.09),66.17375088,0.8612500059999999,1.080000043,5.533749997999999,0.0436510924883098
1134,15573,0.416973416859425,rossi,1995-01-06,0.11,27.09,-80.12722,POINT (-80.12721999999999 27.09),66.17375088,0.8612500059999999,1.080000043,5.533749997999999,0.0436510924883098
1135,15577,0.423674093093585,rossi,1995-01-06,0.11,27.09,-80.12722,POINT (-80.12721999999999 27.09),66.17375088,0.8612500059999999,1.080000043,5.533749997999999,0.0436510924883098
1136,15574,0.26116653044793103,rossi,1995-01-06,0.11,27.09,-80.12722,POINT (-80.12721999999999 27.09),66.17375088,0.8612500059999999,1.080000043,5.533749997999999,0.0436510924883098
1137,15575,1.02953943468303,rossi,1995-01-06,0.11,27.09,-80.12722,POINT (-80.12721999999999 27.09),66.17375088,0.8612500059999999,1.080000043,5.533749997999999,0.0436510924883098
1138,15578,0.8403169167078821,rossi,1995-01-06,0.11,27.09,-80.12722,POINT (-80.12721999999999 27.09),66.17375088,0.8612500059999999,1.080000043,5.533749997999999,0.0436510924883098
1139,20944,0.163805589738836,rossi,2004-11-15,0.05,29.0955,-80.93307,POINT (-80.93307 29.0955),60.03624916,2.099999979,2.359999895,10.43874991,0.037745865539959414
1140,20887,0.19971994274070698,rossi,2004-11-15,0.05,29.09552,-80.93307,POINT (-80.93307 29.09552),60.03624916,2.099999979,2.359999895,10.43874991,0.037725865749651824
1143,20927,0.245542362356011,rossi,2004-11-15,0.055,29.2963,-81.04085,POINT (-81.04085000000001 29.2963),60.97874975,2.182500005,2.5,10.50375009,0.050592173044564925
1144,20926,0.272445696232963,rossi,2004-11-15,0.06,29.308529999999998,-81.04703,POINT (-81.04703000000001 29.30853),60.73374939,2.346249968,2.6900000569999998,10.54124999,0.05321026686472765
1145,15564,0.512641033290527,rossi,1995-01-06,0.105,27.20583,-80.16889,POINT (-80.16889 27.20583),62.21874952,1.03374999,1.2799999709999998,5.538749993,0.03613981860440278
1146,15571,0.48130483979447,rossi,1995-01-06,0.105,27.20583,-80.16889,POINT (-80.16889 27.20583),62.21874952,1.03374999,1.2799999709999998,5.538749993,0.03613981860440278
1147,15563,0.437097140245639,rossi,1995-01-06,0.105,27.20583,-80.16889,POINT (-80.16889 27.20583),62.21874952,1.03374999,1.2799999709999998,5.538749993,0.03613981860440278
1148,15568,0.506635906791746,rossi,1995-01-06,0.105,27.20583,-80.16889,POINT (-80.16889 27.20583),62.21874952,1.03374999,1.2799999709999998,5.538749993,0.03613981860440278
1149,15567,0.48431669513356895,rossi,1995-01-16,0.105,27.20583,-80.16889,POINT (-80.16889 27.20583),73.09249973,0.929999992,1.049999952,11.18500006,0.03613981860440278
