"Kurt (Grain size, sieving, Folk and...)",Sample ID (Sample number),Sample ID (Acess number from laboratory),Sample ID (Reference sample in the collect),Sample comment,Date/Time (of collecting),Project,Latitude,Longitude,Elevation [m a.s.l.] (Relative to mean sea level (m)),"Gravel [%] (Grain size, sieving)","Sdst [%] (Grain size, sieving)","Mudstone [%] (Grain size, sieving)","Grain size mean [phi] (Grain size, sieving, Folk and...)","Std dev [±] (Of sample value, Grain size, ...)","Skew (Grain size, sieving, Folk and...)","Kurt (Grain size, sieving, Folk and...)","Mode [phi] (1st Mode sample value, Grain ...)","Mode [phi] (2nd Mode sample value, Grain ...)","Mode [phi] (3rd Mode sample value, Grain ...)"
1.059,83,584A,H15,,1/1/1997,INDIA,36.9880958,-7.965882349,,6.3,93.7,0,0.293,0.762,-0.195,1.059,0.747,,
1.028,84,585A,H16,,1/1/1997,INDIA,36.98825474,-7.965683523,,5.1,94.9,0,-0.035,0.59,-0.021,1.028,-0.243,,
1.024,85,586A,I12,,1/1/1997,INDIA,36.98745912,-7.966280912,,3.5,96.5,0,0.333,0.686,-0.127,1.024,0.747,,
1.215,86,587A,I14,,1/1/1997,INDIA,36.98777719,-7.965883039,,18.2,81.8,0,-0.123,1.077,-0.253,1.215,0.247,,
1.211,87,588A,I16,,1/1/1997,INDIA,36.98809515,-7.965485274,,12.1,87.9,0,-0.06,0.814,-0.212,1.211,0.247,,
1.075,88,589A,J10,,1/1/1997,INDIA,36.98698157,-7.966480535,,0.8,99.2,0,0.695,0.583,-0.031,1.075,0.747,,
2.06,89,590A,J11,,1/1/1997,INDIA,36.9871406,-7.9662816,,6.6,93.4,0,0.371,0.898,-0.327,2.06,0.747,,
1.135,90,591A,J12,,1/1/1997,INDIA,36.98729954,-7.966082777,,13.9,86.1,0,-0.105,0.86,-0.127,1.135,0.247,,
1.406,91,592A,J13,,1/1/1997,INDIA,36.98745857,-7.965883841,,21.2,78.8,0,-0.376,1.035,-0.303,1.406,-0.243,-3.243,
0.663,92,593A,J14,,1/1/1997,INDIA,36.9876176,-7.965684903,,49.6,50.4,0,-1.392,1.428,-0.336,0.663,-0.243,-3.243,
1.439,93,594A,J15,,1/1/1997,INDIA,36.98777663,-7.965485965,,24,76,0,-0.521,1.125,-0.386,1.439,-0.243,,
1.018,94,595A,J16,,1/1/1997,INDIA,36.98793557,-7.965287139,,42.2,57.8,0,-1.222,1.267,-0.409,1.018,-0.743,-3.243,
1.154,95,596A,K12,,1/1/1997,INDIA,36.98714004,-7.96588453,,29.5,70.5,0,-0.691,0.821,-0.212,1.154,-0.243,,
1.167,96,597A,K13,,1/1/1997,INDIA,36.98729907,-7.965685594,,16.1,83.9,0,-0.373,0.682,-0.076,1.167,-0.243,,
0.974,97,598A,K14,,1/1/1997,INDIA,36.9874581,-7.965486656,,1.9,98.1,0,0.163,0.559,-0.044,0.974,0.247,,
1.097,98,599A,K15,,1/1/1997,INDIA,36.98761713,-7.965287718,,8.3,91.7,0,-0.127,0.679,-0.043,1.097,-0.243,,
1.06,99,600A,K16,,1/1/1997,INDIA,36.98777607,-7.965088892,,6.4,93.6,0,-0.074,0.614,-0.095,1.06,0.247,,
1.265,100,601A,L10,,1/1/1997,INDIA,36.98666248,-7.966084042,,16.1,83.9,0,-0.268,0.826,-0.194,1.265,-0.243,,
1.341,101,602A,L11,,1/1/1997,INDIA,36.98682151,-7.965885107,,24.3,75.7,0,-0.548,0.861,-0.252,1.341,-0.243,,
1.313,102,603A,L12,,1/1/1997,INDIA,36.98698045,-7.965686284,,11.5,88.5,0,0.037,0.894,-0.267,1.313,0.247,,
