Sample ID (Sample number),Sample ID (Acess number from laboratory),Sample ID (Reference sample in the collect),Sample comment,Date/Time (of collecting),Project,Sample method,Latitude,Longitude,Chart datum [m] (Hydrographic datum (m)),"Gravel [%] (Grain size, sieving)","Sdst [%] (Grain size, sieving)","Mudstone [%] (Grain size, sieving)","Grain size mean [phi] (Grain size, sieving, Folk and...)","Std dev [±] (Of sample value, Grain size, ...)","Skew (Grain size, sieving, Folk and...)","Kurt (Grain size, sieving, Folk and...)","Mode [phi] (1st Mode sample value, Grain ...)","Mode [phi] (2nd Mode sample value, Grain ...)","Mode [phi] (3rd Mode sample value, Grain ...)"
42,804A,Ar2.Terraco,Low tide terrace,7/25/2000,ReqSistLagRFormosa,Hand-Collecting,37.0325,-7.7607,,6.1,93.9,0,0.7,0.95,-0.14,0.86,-0.24,1.247,-1.243
43,805A,Ar3.Duna,Dune,7/25/2000,ReqSistLagRFormosa,Hand-Collecting,37.0425,-7.7447,5,0,100,0,1.41,0.58,-0.11,0.99,1.75,,
44,806A,Ar3.Berma,Berm,7/25/2000,ReqSistLagRFormosa,Hand-Collecting,37.0424,-7.7446,4,0,100,0,1.06,0.63,0.08,0.95,0.75,,
45,807A,Ar3.Face,Beach face,7/25/2000,ReqSistLagRFormosa,Hand-Collecting,37.0421,-7.7445,2,0,100,0,1.68,0.43,-0.02,0.97,1.75,,
46,808A,Ar3.Terraco,Low tide terrace,7/25/2000,ReqSistLagRFormosa,Hand-Collecting,37.0414,-7.7443,,1.1,98.9,0,1.34,0.68,-0.22,0.98,1.75,,
47,809A,Ta 2.Aterro,Nourishment,4/11/2000,ReqSistLagRFormosa,Hand-Collecting,37.0692,-7.6975,7,2.2,97.8,0,1.39,0.92,-0.36,0.95,1.75,-0.243,
48,810A,Ta 2.Berma,Berm,4/11/2000,ReqSistLagRFormosa,Hand-Collecting,37.0691,-7.6975,7,0,100,0,1.56,0.42,0.08,0.88,1.25,,
49,811A,Ta 2.Face,Beach face,4/11/2000,ReqSistLagRFormosa,Hand-Collecting,37.0687,-7.6973,2,2.1,97.9,0,0.61,0.77,0.19,0.85,0.25,,
50,812A,Ta 4.Duna,Dune,4/11/2000,ReqSistLagRFormosa,Hand-Collecting,37.0851,-7.6641,5,0,100,0,1.58,0.4,0.01,0.91,1.75,,
51,813A,Ta 4.Berma,Berm,4/11/2000,ReqSistLagRFormosa,Hand-Collecting,37.0849,-7.664,3,0.7,99.3,0,0.88,0.68,-0.06,0.94,1.25,,
52,814A,Ta 4.Face,Beach face,4/11/2000,ReqSistLagRFormosa,Hand-Collecting,37.0846,-7.6639,2,4.4,95.6,0,0.72,0.83,-0.001,0.75,-0.24,1.25,
53,815A,Ta 6.Duna,Dune,4/11/2000,ReqSistLagRFormosa,Hand-Collecting,37.1009,-7.6369,6,0,100,0,1.85,0.37,0.06,1.08,1.75,,
54,816A,Ta 6.Berma,Berm,4/11/2000,ReqSistLagRFormosa,Hand-Collecting,37.1007,-7.6368,3,0,100,0,1.91,0.31,0.18,0.8,1.75,,
55,817A,Ta 6.Terraco,Low tide terrace,4/11/2000,ReqSistLagRFormosa,Hand-Collecting,37.0998,-7.6363,0,0.3,99.7,0,1.53,0.56,-0.23,1.17,1.75,,
56,818A,Ta 7.Duna,Dune,4/11/2000,ReqSistLagRFormosa,Hand-Collecting,37.1102,-7.6217,5,0,100,0,1.48,0.44,0.07,1.01,1.25,,
57,819A,Ta 7.Berma,Berm,4/11/2000,ReqSistLagRFormosa,Hand-Collecting,37.1098,-7.6215,5,0,100,0,1.47,0.5,-0.01,1.01,1.25,,
