Sample ID (Sample number),Sample ID (Acess number from laboratory),Sample ID (Reference sample in the collect),Date/Time (of collecting),Project,Sample method,"Latitude (Grain size, sieving)","Longitude (Grain size, sieving)","Depth water [m] (Grain size, sieving/pipette)","Gravel [%] (Grain size, sieving/pipette, ...)","Sdst [%] (Grain size, sieving/pipette, ...)","Mudstone [%] (Grain size, sieving/pipette, ...)","Grain size mean [phi] (Grain size, sieving/pipette, ...)","Std dev [±] (Of sample value, Grain size, ...)","Skew (Grain size, sieving/pipette, ...)","Kurt (Grain size, sieving/pipette, ...)"
60,64,64,9/8/1999,SIRIA,SMT-Dredge SmitMacIntyre,36.9493,-6.9312,-61,0,2.6,97.4,7.84,2.33,-0.08,1.78
61,65,65,9/8/1999,SIRIA,SMT-Dredge SmitMacIntyre,36.917,-6.9491,-72,0,0.9,99.1,8.42,2.05,-0.27,2.08
62,66,66,9/8/1999,SIRIA,SMT-Dredge SmitMacIntyre,36.8853,-6.9725,-94,0,0.8,99.2,8.51,2.02,-0.31,2.11
63,67,67,9/8/1999,SIRIA,SMT-Dredge SmitMacIntyre,36.8883,-7.0374,-105,0,4.1,95.9,8.27,2.21,-0.36,2.17
64,68,68,9/8/1999,SIRIA,SMT-Dredge SmitMacIntyre,36.9193,-7.0159,-87,0,0.7,99.3,8.52,2.01,-0.31,2.14
65,69,69,9/8/1999,SIRIA,SMT-Dredge SmitMacIntyre,36.9602,-6.9994,-63,0,1.2,98.8,8.21,2.17,-0.21,1.92
66,70,70,9/8/1999,SIRIA,SMT-Dredge SmitMacIntyre,36.9972,-6.9844,-48,0,3.6,96.4,7.91,2.34,-0.14,1.84
67,71,71,9/8/1999,SIRIA,SMT-Dredge SmitMacIntyre,37.0289,-6.9689,-37,16,52.5,31.5,3.18,3.97,0.54,2.32
68,72,72,9/8/1999,SIRIA,SMT-Dredge SmitMacIntyre,37.0615,-6.957,-29,0.2,3.2,96.6,8.07,2.46,-0.61,2.96
69,73,73,9/8/1999,SIRIA,SMT-Dredge SmitMacIntyre,37.0881,-6.9491,-22,10,85.4,4.6,1.04,2.09,2.05,11.74
70,74,74,9/8/1999,SIRIA,SMT-Dredge SmitMacIntyre,37.1058,-6.9412,-17,11.5,64.7,23.8,2.9,3.29,0.53,3.5
71,75,75,9/8/1999,SIRIA,SMT-Dredge SmitMacIntyre,37.1265,-6.9349,-10,0.7,98,1.3,1.87,0.96,1.42,16.78
72,76,76,9/8/1999,SIRIA,SMT-Dredge SmitMacIntyre,37.1901,-7.0903,-11,46.7,48.4,4.9,-0.46,2.48,1.8,8.24
73,77,77,9/8/1999,SIRIA,SMT-Dredge SmitMacIntyre,37.1631,-7.094,-16,20,70.8,9.2,0.73,2.57,2.09,8.5
74,78,78,9/8/1999,SIRIA,SMT-Dredge SmitMacIntyre,37.1419,-7.1005,-18,1.5,84.8,13.7,2.65,2,1.45,7.75
75,79,79,9/8/1999,SIRIA,SMT-Dredge SmitMacIntyre,37.1149,-7.1054,-22,14.6,77.6,7.8,0.64,2.56,2.51,9.82
76,80,80,9/8/1999,SIRIA,SMT-Dredge SmitMacIntyre,37.0864,-7.1118,-29,22.3,67.4,10.3,0.57,3.03,2.12,7.26
77,81,81,9/8/1999,SIRIA,SMT-Dredge SmitMacIntyre,37.057,-7.1159,-42,0,1.3,98.7,8.32,2.16,-0.31,2.04
78,82,82,9/8/1999,SIRIA,SMT-Dredge SmitMacIntyre,37.0254,-7.12,-51,0,0.9,99.1,8.21,2.17,-0.19,1.89
