Sample ID (Sample number),Sample ID (Acess number from laboratory),Sample ID (Reference sample in the collect),Date/Time (of collecting),Project,Sample method,Latitude (WGS1984),Longitude (WGS1984),Elevation [m a.s.l.] (Relative to mean sea level (m)),"Gravel [%] (Grain size, sieving)","Sdst [%] (Grain size, sieving)","Mudstone [%] (Grain size, settling tube)","Grain size mean [phi] (Grain size, sieving/settling ...)","Std dev [±] (Of sample value, Grain size, ...)","Skew (Grain size, sieving/settling ...)","Kurt (Grain size, sieving/settling ...)","Mode [phi] (1st Mode sample value, Grain ...)","Mode [phi] (2nd Mode sample value, Grain ...)","Mode [phi] (3rd Mode sample value, Grain ...)"
56,1186A,O.A-P12-A5,9/13/2011,EROS,Hand-Collecting,37.0897,-8.192,4.68,0.1,99.9,0,1.887,0.511,-0.018,1.014,1.747,,
57,1187A,O.A-P14-A1,9/13/2011,EROS,Hand-Collecting,37.0891,-8.192,0.95,4.4,95.6,0,2.34,0.964,-0.598,2.048,2.737,,
58,1188A,O.A-P14-A2,9/13/2011,EROS,Hand-Collecting,37.0893,-8.192,1.63,0,100,0,2.409,0.618,-0.429,1.232,2.737,,
59,1189A,O.A-P14-A3,9/13/2011,EROS,Hand-Collecting,37.0894,-8.192,2.27,0.1,99.9,0,2.264,0.606,-0.278,1.063,2.737,,
60,1190A,O.A-P14-A4,9/13/2011,EROS,Hand-Collecting,37.0895,-8.192,2.94,0,100,0,1.977,0.646,-0.137,0.983,2.237,,
61,1191A,O.A-P14-A5,9/13/2011,EROS,Hand-Collecting,37.0897,-8.192,4.45,0,100,0,1.806,0.619,-0.083,0.967,2.237,,
62,1192A,O.A-P7-A1,10/28/2011,EROS,Hand-Collecting,37.0886,-8.194,2.18,74.6,25.4,0,-1.514,0.736,0.181,0.816,-2.243,-1.243,
63,1193A,O.A-P7-A2,10/28/2011,EROS,Hand-Collecting,37.0887,-8.194,3.43,1.6,98.4,0,0.633,0.79,-0.112,0.907,1.247,,
64,1194A,O.A-P12-A1,10/28/2011,EROS,Hand-Collecting,37.089,-8.192,1.1,0,100,0,2.294,0.632,-0.227,0.914,2.737,,
65,1195A,O.A-P12-A2,10/28/2011,EROS,Hand-Collecting,37.0893,-8.192,2.02,0,100,0,2.209,0.54,-0.054,0.961,2.237,,
66,1196A,O.A-P12-A3,10/28/2011,EROS,Hand-Collecting,37.0895,-8.192,2.72,0,100,0,1.897,0.526,0.03,1.01,1.747,,
