Sample ID (Sample number),Sample ID (Acess number from laboratory),Sample ID (Reference sample in the collect),Sample comment,Date/Time (of collecting),Project,Sample method,Latitude,Longitude,Elevation [m a.s.l.] (Relative to mean sea level (m)),"Gravel [%] (Grain size, sieving)","Sdst [%] (Grain size, sieving)","Mudstone [%] (Grain size, sieving/pipette)","Grain size mean [phi] (Grain size, sieving/pipette, ...)","Std dev [±] (Of sample value, Grain size, ...)","Skew (Grain size, sieving/pipette, ...)","Kurt (Grain size, sieving/pipette, ...)","Mode [phi] (1st Mode sample value, Grain ...)","Mode [phi] (2nd Mode sample value, Grain ...)","Mode [phi] (3rd Mode sample value, Grain ...)"
73,2542,FN_P3_FP,Beach face,11/28/2011,Graduation_EvolutionDynamicsCliffBeachSystems,Hand-collecting,37.0592,-8.0854,1.52,0.5,99.5,0,1.246,0.639,-0.076,1.04,1.247,,
74,2541,FN_P3_BA,Berm,11/28/2011,Graduation_EvolutionDynamicsCliffBeachSystems,Hand-collecting,37.0593,-8.0853,3.2,0.1,99.9,0,1.095,0.658,0.041,0.974,1.247,,
75,2540,FN_P3_BNA,Berm,11/28/2011,Graduation_EvolutionDynamicsCliffBeachSystems,Hand-collecting,37.0594,-8.0852,4.15,0,100,0,0.99,0.504,0.074,1.061,0.747,,
76,2539,FN_P3_E,Landslide,11/28/2011,Graduation_EvolutionDynamicsCliffBeachSystems,Hand-collecting,37.0598,-8.085,4.75,1.8,87.3,10.9,1.369,1.683,0.159,1.664,1.747,,
77,2538,FN_P5_FP,Beach face,11/28/2011,Graduation_EvolutionDynamicsCliffBeachSystems,Hand-collecting,37.0598,-8.0863,2.19,0,100,0,0.961,0.532,0.036,1.015,0.747,,
78,2537,FN_P5_BA,Berm,11/28/2011,Graduation_EvolutionDynamicsCliffBeachSystems,Hand-collecting,37.0598,-8.0863,3.4,0.1,99.9,0,1.3,0.542,0.015,1.009,1.247,,
79,2536,FN_P5_BNA,Berm,11/28/2011,Graduation_EvolutionDynamicsCliffBeachSystems,Hand-collecting,37.0599,-8.0862,4.29,1.4,98.6,0,0.769,0.684,-0.06,1.033,0.747,,
80,2535,FN_P5_E,Landslide,11/28/2011,Graduation_EvolutionDynamicsCliffBeachSystems,Hand-collecting,37.0603,-8.0859,5.33,1.7,88.2,10.1,1.242,1.616,0.321,1.676,1.247,,
81,2534,FN_P7_FP,Beach face,11/28/2011,Graduation_EvolutionDynamicsCliffBeachSystems,Hand-collecting,37.0602,-8.0873,2,0,100,0,1.027,0.403,0.086,0.91,0.747,,
82,2533,FN_P7_BA,Berm,11/28/2011,Graduation_EvolutionDynamicsCliffBeachSystems,Hand-collecting,37.0603,-8.0873,3,0.1,99.9,0,1.163,0.5,-0.01,0.996,1.247,,
83,2532,FN_P7_BNA,Berm,11/28/2011,Graduation_EvolutionDynamicsCliffBeachSystems,Hand-collecting,37.0604,-8.0871,4.04,0.1,99.9,0,1.061,0.608,0.038,1.04,1.247,,
84,2531,FN_P7_E,Landslide,11/28/2011,Graduation_EvolutionDynamicsCliffBeachSystems,Hand-collecting,37.0607,-8.0868,5.84,1.9,93.3,4.8,0.643,1.183,0.253,1.374,0.247,,
85,2501,FN_P3_FP,Beach face,10/31/2011,Graduation_EvolutionDynamicsCliffBeachSystems,Hand-collecting,37.0602,-8.0873,1.97,0.1,99.9,0,,0.605,0.06,0.951,0.747,,
86,2500,FN_P3_BA,Berm,10/31/2011,Graduation_EvolutionDynamicsCliffBeachSystems,Hand-collecting,37.0603,-8.0872,3.36,0.4,99.6,0,0.615,0.649,0.118,1.026,0.247,,
87,2499,FN_P3_BNA,Berm,10/31/2011,Graduation_EvolutionDynamicsCliffBeachSystems,Hand-collecting,37.0604,-8.0871,4.49,0,100,0,1.442,0.53,0.072,1.016,1.247,,
88,2498,FN_P3_E,Landslide,10/31/2011,Graduation_EvolutionDynamicsCliffBeachSystems,Hand-collecting,37.0607,-8.0873,6.14,0.5,86.9,12.6,1.551,1.639,0.209,1.866,1.747,,
89,2497,FN_P5_FP,Beach face,10/31/2011,Graduation_EvolutionDynamicsCliffBeachSystems,Hand-collecting,37.0597,-8.0864,1.53,0.1,99.9,0,1.008,0.639,-0.057,0.963,1.247,,
90,2496,FN_P5_BA,Berm,10/31/2011,Graduation_EvolutionDynamicsCliffBeachSystems,Hand-collecting,37.0598,-8.0863,2.85,2.6,97.4,0,0.384,0.844,0.113,0.937,0.247,,
91,2495,FN_P5_BNA,Berm,10/31/2011,Graduation_EvolutionDynamicsCliffBeachSystems,Hand-collecting,37.0599,-8.0862,4.55,0.2,99.8,0,1.344,0.618,-0.055,1.064,1.247,,
92,2494,FN_P5_E,Landslide,10/31/2011,Graduation_EvolutionDynamicsCliffBeachSystems,Hand-collecting,37.0602,-8.0859,4.25,4,92.3,3.7,0.956,1.053,0.015,1.196,1.247,,
93,2493,FN_P7_FP,Beach face,10/31/2011,Graduation_EvolutionDynamicsCliffBeachSystems,Hand-collecting,37.0592,-8.0854,1.26,0.3,99.7,0,0.706,0.67,0.112,0.965,0.247,,
94,2492,FN_P7_BA,Berm,10/31/2011,Graduation_EvolutionDynamicsCliffBeachSystems,Hand-collecting,37.0593,-8.0853,2.88,4,96,0,0.393,0.87,0.059,0.896,-0.243,,
95,2491,FN_P7_BNA,Berm,10/31/2011,Graduation_EvolutionDynamicsCliffBeachSystems,Hand-collecting,37.0595,-8.0852,4.35,0.6,99.4,0,1.205,0.742,-0.071,1.014,1.247,,
96,2490,FN_P7_E,Landslide,10/31/2011,Graduation_EvolutionDynamicsCliffBeachSystems,Hand-collecting,37.0598,-8.085,4.77,1.5,90.2,8.3,0.826,1.433,0.358,1.953,0.247,,
97,2562,FN_P3_FP,Beach face,1/21/2012,Graduation_EvolutionDynamicsCliffBeachSystems,Hand-collecting,37.0592,-8.0854,1.62,0.3,99.7,0,1.251,0.757,-0.032,0.863,1.247,,
98,2561,FN_P3_BA,Berm,1/21/2012,Graduation_EvolutionDynamicsCliffBeachSystems,Hand-collecting,37.0593,-8.0853,3.15,0.2,99.8,0,1.367,0.658,-0.135,1.083,1.747,,
99,2560,FN_P3_BNA,Berm,1/21/2012,Graduation_EvolutionDynamicsCliffBeachSystems,Hand-collecting,37.0594,-8.0852,4.13,2.3,97.7,0,0.497,0.802,-0.018,0.966,0.247,,
100,2559,FN_P3_E_Dep,Landslide_Deposit,1/21/2012,Graduation_EvolutionDynamicsCliffBeachSystems,Hand-collecting,37.0598,-8.085,5.02,1,91,8,1.133,1.511,0.206,1.55,1.247,,
101,2558,FN_P5_FP,Beach face,1/21/2012,Graduation_EvolutionDynamicsCliffBeachSystems,Hand-collecting,37.0597,-8.0864,1.46,0.2,99.8,0,1.473,0.693,-0.158,0.989,1.747,,
102,2557,FN_P5_BA,Berm,1/21/2012,Graduation_EvolutionDynamicsCliffBeachSystems,Hand-collecting,37.0598,-8.0863,3.1,0.1,99.8,0,1.34,0.685,-0.141,1.018,1.747,,
103,2556,FN_P5_BNA,Berm,1/21/2012,Graduation_EvolutionDynamicsCliffBeachSystems,Hand-collecting,37.0599,-8.0862,4.27,1.3,98.7,0,0.945,0.752,-0.064,1.099,1.247,,
104,2555,FN_P5_E_Dep,Landslide_Deposit,1/21/2012,Graduation_EvolutionDynamicsCliffBeachSystems,Hand-collecting,37.0603,-8.0859,5.1,4.6,80.8,14.6,1.58,2.077,0.354,1.573,1.247,,
105,2554,FN_P7_FP,Beach face,1/21/2012,Graduation_EvolutionDynamicsCliffBeachSystems,Hand-collecting,37.0602,-8.0873,1.42,0.4,99.6,0,1.286,0.703,-0.132,0.958,1.747,,
106,2553,FN_P7_BA,Berm,1/21/2012,Graduation_EvolutionDynamicsCliffBeachSystems,Hand-collecting,37.0603,-8.0872,3.47,0.2,99.8,0,1.172,0.696,-0.046,0.912,1.247,,
107,2552,FN_P7_BNA,Berm,1/21/2012,Graduation_EvolutionDynamicsCliffBeachSystems,Hand-collecting,37.0604,-8.0871,4.22,0.1,99.9,0,0.848,0.639,0.012,1.021,0.747,,
108,2551,FN_P7_Dep,Deposit,1/21/2012,Graduation_EvolutionDynamicsCliffBeachSystems,Hand-collecting,37.0607,-8.0868,5.96,2.1,96.3,1.6,0.698,0.9,-0.021,0.966,1.247,,
109,2590,FN_P3_FP,Beach face,5/8/2012,Graduation_EvolutionDynamicsCliffBeachSystems,Hand-collecting,37.0593,-8.0854,2.6,0.1,99.9,0,1.124,0.465,-0.029,1.035,1.247,,
110,2589,FN_P3_BA,Berm,5/8/2012,Graduation_EvolutionDynamicsCliffBeachSystems,Hand-collecting,37.0594,-8.0853,3.79,0,100,0,1.15,0.641,0.06,1.035,1.247,,
111,2588,FN_P3_BNA,Berm,5/8/2012,Graduation_EvolutionDynamicsCliffBeachSystems,Hand-collecting,37.0595,-8.0852,4.32,2.1,97.9,0,0.685,0.868,-0.023,0.984,0.747,,
112,2587,FN_P3_E,Landslide,5/8/2012,Graduation_EvolutionDynamicsCliffBeachSystems,Hand-collecting,37.0598,-8.085,5.09,0.9,90.5,8.6,1.084,1.562,0.203,1.583,1.247,,
113,2586,FN_P5_FP,Beach face,5/8/2012,Graduation_EvolutionDynamicsCliffBeachSystems,Hand-collecting,37.0598,-8.0863,2.52,0.2,99.8,0,0.904,0.667,0.065,0.975,0.747,,
114,2585,FN_P5_BA,Berm,5/8/2012,Graduation_EvolutionDynamicsCliffBeachSystems,Hand-collecting,37.0598,-8.0863,3.43,0.1,99.9,0,1.213,0.643,0.035,0.974,1.247,,
115,2584,FN_P5_BNA,Berm,5/8/2012,Graduation_EvolutionDynamicsCliffBeachSystems,Hand-collecting,37.06,-8.0861,4.65,2.9,97,0,0.569,0.847,-0.023,1.007,0.747,,
