Sample ID (Sample number),Sample ID (Acess number from laboratory),Sample ID (Reference sample in the collect),Date/Time (of collecting),Project,Sample method,Latitude,Longitude,Chart datum [m] (Hydrographic datum (m)),"Gravel [%] (Grain size, sieving)","Sdst [%] (Grain size, sieving)","Mudstone [%] (Grain size, sieving/pipette)","Grain size mean [phi] (Grain size, sieving/pipette, ...)","Std dev [±] (Of sample value, Grain size, ...)","Skew (Grain size, sieving/pipette, ...)","Kurt (Grain size, sieving/pipette, ...)","Mode [phi] (1st Mode sample value, Grain ...)","Mode [phi] (2nd Mode sample value, Grain ...)","Mode [phi] (3rd Mode sample value, Grain ...)",Obs
193,1073A,P3/T1,7/6/2005,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0111,-7.8016,,6.2,93.8,0,0.465,0.885,-0.139,1.029,0.747,,,Approximate coordinates by geo-referencing
194,1074A,P3/T2,7/6/2005,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0104,-7.8005,,1,99,0,1.035,0.519,-0.201,1.153,1.247,,,Approximate coordinates by geo-referencing
195,1075A,P3/T3,7/6/2005,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0097,-7.7994,,1.3,98.7,0,0.898,0.81,-0.228,0.917,1.247,,,Approximate coordinates by geo-referencing
196,1076A,P3/T4,7/6/2005,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0089,-7.7982,,7.6,92.4,0,0.242,0.847,-0.098,0.995,0.247,,,Approximate coordinates by geo-referencing
197,1077A,P3/T5,7/5/2005,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0082,-7.7971,,35.4,64.6,0,-0.225,2.65,-0.65,0.495,-4.243,1.747,,Approximate coordinates by geo-referencing
198,1078A,P3/T6,7/6/2005,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0075,-7.796,,4,96,0,0.502,0.802,-0.146,1.031,0.747,,,Approximate coordinates by geo-referencing
199,1079A,P4/T1,7/6/2005,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.012,-7.8005,,1.4,98.6,0,1.35,0.678,-0.128,1.141,1.247,,,Approximate coordinates by geo-referencing
200,1080A,P4/T2,7/6/2005,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0113,-7.7993,,0.4,99.6,0,1.626,0.562,-0.129,1.031,1.747,,,Approximate coordinates by geo-referencing
201,1081A,P4/T3,7/6/2005,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0106,-7.7982,,0.8,99.2,0,1.703,0.553,-0.16,1.057,1.747,,,Approximate coordinates by geo-referencing
202,1082A,P4/T4,7/6/2005,Inlets Monitoring_IPTM,Dredge Petit Ponnar,37.0098,-7.7971,,2.1,97.9,0,2.157,0.393,-0.174,1.538,2.237,,,Approximate coordinates by geo-referencing
