Sample ID (Sample number),Sample ID (Acess number from laboratory),Sample ID (Reference sample in the collect),Date/Time (of collecting),Project,Sample method,Latitude,Longitude,"Gravel [%] (Grain size, sieving)","Sdst [%] (Grain size, sieving)","Mudstone [%] (Grain size, settling tube)","Grain size mean [phi] (Grain size, sieving/settling ...)","Std dev [±] (Of sample value, Grain size, ...)","Skew (Grain size, sieving/settling ...)","Kurt (Grain size, sieving/settling ...)","Mode [phi] (1st Mode sample value, Grain ...)","Mode [phi] (2nd Mode sample value, Grain ...)"
53,1430A,BG-P8-A4,3/29/2011,MOSES,Hand-Collecting,37.0807,-8.3166,0.1,99.9,0,1.297,0.549,-0.06,1.04,1.247,
54,1431A,BG-P8-A5,3/29/2011,MOSES,Hand-Collecting,37.0806,-8.3167,0.6,99.4,0,1.418,0.708,-0.276,1.266,1.747,
55,1432A,BG-P9-A1,3/29/2011,MOSES,Hand-Collecting,37.0807,-8.3162,0.3,99.7,0,0.434,0.618,0.229,1.124,0.247,
56,1433A,BG-P9-A2,3/29/2011,MOSES,Hand-Collecting,37.0807,-8.3163,0,100,0,1.243,0.568,-0.051,1.026,1.247,
57,1434A,BG-P9-A3,3/29/2011,MOSES,Hand-Collecting,37.0806,-8.3164,0.1,99.9,0,1.294,0.527,-0.064,1.06,1.247,
58,1435A,BG-P9-A4,3/29/2011,MOSES,Hand-Collecting,37.0805,-8.3164,0.1,99.9,0,1.557,0.47,-0.109,1.04,1.747,
59,1436A,BG-P9-A5,3/29/2011,MOSES,Hand-Collecting,37.0805,-8.3165,0.1,99.9,0,1.432,0.517,0.039,1.023,1.247,
60,1437A,BG-P9-A6,3/29/2011,MOSES,Hand-Collecting,37.0804,-8.3166,10,90,0,0.149,1.029,0.242,1.029,-0.243,
61,1438A,PA-P1-A1,3/29/2011,MOSES,Hand-Collecting,37.0804,-8.3162,0,100,0,1.657,0.445,-0.039,1.015,1.747,
62,1439A,PA-P1-A2,3/29/2011,MOSES,Hand-Collecting,37.0803,-8.3163,0,100,0,1.751,0.58,-0.082,1.073,1.747,
63,1440A,PA-P2-A1,3/29/2011,MOSES,Hand-Collecting,37.0805,-8.3158,0.4,99.6,0,1.258,0.594,-0.13,1.097,1.247,
64,1441A,PA-P2-A2,3/29/2011,MOSES,Hand-Collecting,37.0804,-8.3159,0.1,99.9,0,1.386,0.493,-0.051,1.003,1.247,
65,1442A,PA-P2-A3,3/29/2011,MOSES,Hand-Collecting,37.0804,-8.316,0.1,99.9,0,1.569,0.443,-0.089,1.04,1.747,
66,1443A,PA-P2-A4,3/29/2011,MOSES,Hand-Collecting,37.0803,-8.316,0.1,99.9,0,1.728,0.54,-0.165,1.05,1.747,
67,1444A,PA-P2-A5,3/29/2011,MOSES,Hand-Collecting,37.0802,-8.3161,0,100,0,1.927,0.488,-0.014,1.05,1.747,
68,1445A,PA-P2-A6,3/29/2011,MOSES,Hand-Collecting,37.0801,-8.3162,0,100,0,2.072,0.521,-0.014,1.013,2.237,
69,1446A,PA-P3-A1,3/29/2011,MOSES,Hand-Collecting,37.0805,-8.3157,4.6,95.4,0,0.352,0.94,0.136,0.807,-0.243,1.247
70,1447A,PA-P3-A2,3/29/2011,MOSES,Hand-Collecting,37.0804,-8.3157,1.1,98.9,0,0.867,0.679,-0.16,1.039,1.247,
71,1448A,PA-P3-A3,3/29/2011,MOSES,Hand-Collecting,37.0804,-8.3158,0.5,99.5,0,1.226,0.574,-0.133,0.973,1.247,
72,1449A,PA-P3-A4,3/29/2011,MOSES,Hand-Collecting,37.0803,-8.3159,0.2,99.8,0,1.586,0.464,-0.186,1.156,1.747,
73,1450A,PA-P3-A5,3/29/2011,MOSES,Hand-Collecting,37.0802,-8.3159,0,100,0,1.732,0.429,-0.023,1.124,1.747,
74,1451A,PA-P3-A6,3/29/2011,MOSES,Hand-Collecting,37.0801,-8.316,0,100,0,1.903,0.456,0.019,1.019,1.747,
75,1452A,PA-P3-A7,3/29/2011,MOSES,Hand-Collecting,37.0801,-8.3161,0,100,0,2,0.491,-0.055,1.046,2.237,
76,1453A,PA-P4-A1,3/29/2011,MOSES,Hand-Collecting,37.0804,-8.3155,1.2,98.8,0,0.478,0.74,0.129,0.919,0.247,
77,1454A,PA-P4-A2,3/29/2011,MOSES,Hand-Collecting,37.0803,-8.3156,0.1,99.9,0,1.171,0.644,-0.102,0.87,1.247,
78,1455A,PA-P4-A3,3/29/2011,MOSES,Hand-Collecting,37.0802,-8.3156,0.4,99.6,0,1.229,0.596,-0.101,1.035,1.247,
79,1456A,PA-P4-A4,3/29/2011,MOSES,Hand-Collecting,37.0802,-8.3157,0.5,99.5,0,1.507,0.472,-0.125,1.105,1.747,
80,1457A,PA-P4-A5,3/29/2011,MOSES,Hand-Collecting,37.0801,-8.3158,0.1,99.9,0,1.675,0.48,-0.107,1.164,1.747,
81,1458A,PA-P4-A6,3/29/2011,MOSES,Hand-Collecting,37.0801,-8.3159,0,100,0,1.933,0.445,-0.001,1.026,1.747,
82,1459A,PA-P4-A7,3/29/2011,MOSES,Hand-Collecting,37.08,-8.316,0,100,0,1.841,0.5,0.023,1.081,1.747,
83,1460A,PA-P5-A1,3/29/2011,MOSES,Hand-Collecting,37.0802,-8.3153,5.8,94.2,0,0.138,0.841,0.145,0.882,-0.243,
84,1461A,PA-P5-A2,3/29/2011,MOSES,Hand-Collecting,37.0802,-8.3154,1.5,98.5,0,0.81,0.716,-0.131,0.938,1.247,
85,1462A,PA-P5-A3,3/29/2011,MOSES,Hand-Collecting,37.0801,-8.3155,0.3,99.7,0,1.345,0.524,-0.11,1.105,1.247,
86,1463A,PA-P5-A4,3/29/2011,MOSES,Hand-Collecting,37.08,-8.3156,0.5,99.5,0,1.554,0.516,-0.185,1.156,1.747,
87,1464A,PA-P5-A5,3/29/2011,MOSES,Hand-Collecting,37.08,-8.3157,0,100,0,1.762,0.415,-0.006,1.154,1.747,
88,1465A,PA-P5-A6,3/29/2011,MOSES,Hand-Collecting,37.0799,-8.3157,0.1,99.9,0,1.464,0.609,-0.079,1.023,1.747,
89,1466A,PA-P6-A1,3/29/2011,MOSES,Hand-Collecting,37.0799,-8.3155,0.3,99.7,0,1.407,0.627,-0.262,1.172,1.747,
90,1467A,PA-P6-A2,3/29/2011,MOSES,Hand-Collecting,37.0799,-8.3156,0,100,0,1.658,0.405,-0.064,1.072,1.747,
91,1468A,PA-P6-A3,3/29/2011,MOSES,Hand-Collecting,37.0798,-8.3157,1.3,98.7,0,1.657,0.562,-0.212,1.356,1.747,
92,1469A,VJ-P2-A1,3/29/2011,MOSES,Hand-Collecting,37.0798,-8.3151,0,100,0,1.297,0.582,-0.147,1.144,1.747,
93,1470A,VJ-P2-A2,3/29/2011,MOSES,Hand-Collecting,37.0798,-8.3152,0.9,99.1,0,1.277,0.684,-0.208,1.066,1.747,0.247
94,1471A,VJ-P2-A3,3/29/2011,MOSES,Hand-Collecting,37.0797,-8.3153,0.9,99.1,0,1.404,0.445,0.071,1.084,1.747,
95,1472A,VJ-P3-A2,3/29/2011,MOSES,Hand-Collecting,37.0799,-8.3149,0.1,99.9,0,1.039,0.648,-0.149,0.957,1.247,
96,1473A,VJ-P3-A3,3/29/2011,MOSES,Hand-Collecting,37.0798,-8.315,0.3,99.7,0,1.443,0.525,-0.145,1.138,1.747,
97,1474A,VJ-P3-A4,3/29/2011,MOSES,Hand-Collecting,37.0797,-8.315,0.1,99.9,0,1.443,0.431,0.034,1.023,1.247,
98,1475A,VJ-P3-A5,3/29/2011,MOSES,Hand-Collecting,37.0796,-8.3151,0.2,99.8,0,1.42,0.438,0.095,1.041,1.247,
99,1476A,VJ-P4-A1,3/29/2011,MOSES,Hand-Collecting,37.0798,-8.3146,0.3,99.7,0,0.502,0.81,0.028,0.917,1.747,
100,1477A,VJ-P4-A2,3/29/2011,MOSES,Hand-Collecting,37.0797,-8.3147,0.1,99.9,0,0.329,0.763,0.206,0.966,1.247,
101,1478A,VJ-P4-A3,3/29/2011,MOSES,Hand-Collecting,37.0797,-8.3148,0,100,0,0.835,0.674,-0.099,0.885,1.247,
102,1479A,VJ-P4-A4,3/29/2011,MOSES,Hand-Collecting,37.0796,-8.3149,0.1,99.9,0,1.49,0.404,-0.011,0.945,0.747,
103,1480A,VJ-P4-A5,3/29/2011,MOSES,Hand-Collecting,37.0795,-8.315,2.6,97.4,0,0.856,0.563,0.032,0.982,0.247,1.247
104,1481A,VJ-P5-A1,3/29/2011,MOSES,Hand-Collecting,37.0795,-8.3148,1.8,98.2,0,1.404,0.58,-0.094,1.065,0.247,1.247
105,1482A,VJ-P5-A2,3/29/2011,MOSES,Hand-Collecting,37.0794,-8.3149,0.6,99.4,0,1.656,0.599,-0.202,1.154,1.247,0.247
106,1483A,BG-P10-A1,3/29/2011,MOSES,Hand-Collecting,37.0804,-8.3163,0,100,0,1.673,0.485,-0.089,1.091,1.747,
107,1484A,BG-P10-A2,3/29/2011,MOSES,Hand-Collecting,37.0804,-8.3163,0,100,0,1.917,0.45,0.025,1.047,1.747,
108,1485A,BG-P1-A4,3/29/2011,MOSES,Hand-Collecting,37.0816,-8.3176,0.1,99.9,0,1.281,0.52,-0.107,1.086,1.247,
