Sample ID (Sample number),Sample ID (Acess number from laboratory),Sample ID (Reference sample in the collect),Date/Time (of collecting),Project,Sample method,Latitude (WGS1984),Longitude (WGS1984),Chart datum [m] (Relative to the hydrographic ...),"Gravel [%] (Grain size, sieving/pipette)","Sdst [%] (Grain size, sieving/pipette)","Mudstone [%] (Grain size, sieving/pipette)","Grain size mean [phi] (Grain size, sieving/pipette, ...)","Std dev [±] (Of sample value, Grain size, ...)","Skew (Grain size, sieving/pipette, ...)","Kurt (Grain size, sieving/pipette, ...)","Mode [phi] (1st Mode sample value, Grain ...)","Mode [phi] (2nd Mode sample value, Grain ...)","Mode [phi] (3rd Mode sample value, Grain ...)"
57,1090,024D,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.122,-7.5917,-8.4,16.79,82.67,0.54,1.2,2.11,-0.72,2.38,2.737,-3.243,
58,1091,025C,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.1195,-7.6,-6.6,6.81,92.2,0.99,2.56,1.24,-0.4,3.35,2.737,,
59,1092,025F,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.113,-7.6,-12,14.32,83.6,2.08,0.56,1.36,-0.31,1.5,0.747,,
60,1093,026D,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.1105,-7.6083,-8.4,25.15,74.82,0.03,-0.44,1.54,-0.45,1.25,0.247,-3.743,-2.743
61,1094,026G,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.1057,-7.6083,-13.8,2.52,97.13,0.34,1.19,0.77,-0.23,1.17,1.247,,
62,1095,027A,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.1087,-7.6167,-3,2.87,96.7,0.44,2.45,0.59,-0.19,1.34,2.737,,
63,1096,027C,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.1067,-7.6167,-6.6,1.93,97.55,0.52,2.48,0.57,-0.15,1.25,2.737,,
64,1097,028B,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.1022,-7.625,-4.8,0.27,99,0.73,2.23,0.76,0.09,1.39,2.237,3.237,
65,1098,028D,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.0995,-7.625,-8.4,10.18,89.81,0.01,0.7,1.08,-0.31,2.55,0.747,,
66,1100,029C,11/1/2005,GESTPESCA II,Dredge Petit Ponar,37.0957,-7.6333,-6.6,2.17,97.78,0.05,1.22,0.82,0.09,1.15,1.247,,
