,Ele,dataset,Grain_Size,Hs,Tp,Ta,Dp,Da,Ea,Es
668,BB,Barnard_Santa_Barbara,0.1925,0.6246685291129676,11.640645844306542,8.510677046653038,227.5707601200422,224.7145200362873,0.12475429437683508,2.4952907536606785
669,BB,Barnard_Santa_Barbara,0.2308,0.6115573074435483,11.791101237919925,8.538681151388692,235.87343475733186,233.3803822567068,0.12274882325746624,2.455232345071836
670,MB,Barnard_Santa_Barbara,0.4496,0.6179732379972374,11.161957174732834,7.356329982567654,259.8518387748545,259.5206032528775,0.15495780318111443,3.099229591093842
671,MB,Barnard_Santa_Barbara,0.6326,0.7278276522268802,12.682356960701512,7.971380854151495,237.3600063760201,241.49912505683267,0.19321160278723984,3.8646459681635155
672,MB,Barnard_Santa_Barbara,0.4167,0.5956279967621914,13.404870967074853,8.072489295355084,220.8261914199041,229.54232361882697,0.1347966178360012,2.6963535848427833
673,BB,Barnard_Santa_Barbara,0.7008,0.6179732379972374,11.161957174732834,7.356329982567654,259.8518387748545,259.5206032528775,0.15495780318111443,3.099229591093842
674,BB,Barnard_Santa_Barbara,0.3553,0.5956279967621914,13.404870967074853,8.072489295355084,220.8261914199041,229.54232361882697,0.1347966178360012,2.6963535848427833
675,MB,Barnard_Santa_Barbara,1.0332,0.7158559340129497,14.496035468856897,8.250472955167004,213.59356421486905,221.9397587832385,0.21320218356026407,4.265391185409579
676,MB,Barnard_Santa_Barbara,0.3543,0.5219932175537448,14.107734534919693,7.636446454297141,196.53235664055765,202.6274076549518,0.11727219292396493,2.345990400054804
677,MB,Barnard_Santa_Barbara,0.2936,0.5219932175537448,14.107734534919693,7.636446454297141,196.53235664055765,202.6274076549518,0.11727219292396493,2.345990400054804
678,MB,Barnard_Santa_Barbara,0.2572,0.5077165643508136,12.972902346156722,6.630421013433152,197.32909950247085,205.0838804800926,0.07971944239167546,1.594853476875401
679,MB,Barnard_Santa_Barbara,0.2994,0.5147791611975109,13.20796290879676,6.73310927065826,201.2768994838743,208.15978465140395,0.08392165852989106,1.6789400682986046
680,MB,Barnard_Santa_Barbara,0.2802,0.5532004118073477,12.478706070124847,6.4521738849817325,210.53238914941932,216.5768185080166,0.08789657250140782,1.7583912393664478
681,MB,Barnard_Santa_Barbara,0.2274,0.6246685291129676,11.640645844306542,8.510677046653038,227.5707601200422,224.7145200362873,0.12475429437683508,2.4952907536606785
682,MB,Barnard_Santa_Barbara,0.3888,0.4980040799854694,12.468829174821282,8.56138878899039,216.48070852539087,216.22290616236072,0.08293959311239318,1.6589352740420968
683,MB,Barnard_Santa_Barbara,0.3989,0.5044583751733036,11.766685506809907,8.26132670548174,214.19432855937006,212.228001631953,0.07813261804505336,1.5627751253979396
684,MB,Barnard_Santa_Barbara,0.2208,0.3261340601266436,13.245867350016809,8.353754445216707,194.6508332477694,196.25240950283933,0.03602506235414767,0.7205747465862614
685,MB,Barnard_Santa_Barbara,0.1738,0.5662442271342807,11.149745178050376,7.010854721909785,223.79370388741566,221.55992678618736,0.09060154678116901,1.812139122278613
686,MB,Barnard_Santa_Barbara,0.1656,0.30103111366766105,12.91741958577384,7.5908454879051,182.36834911351022,188.42076725542321,0.029945208389054033,0.5989617600831415
687,MB,Barnard_Santa_Barbara,0.2971,0.30103111366766105,12.91741958577384,7.5908454879051,182.36834911351022,188.42076725542321,0.029945208389054033,0.5989617600831415
688,MB,Barnard_Santa_Barbara,0.1426,0.2787358728018802,12.996725112986237,8.097425185562992,181.5407234669714,186.87207108296204,0.027890786176321014,0.5578739335574052
689,MB,Barnard_Santa_Barbara,0.1913,0.2787358728018802,12.996725112986237,8.097425185562992,181.5407234669714,186.87207108296204,0.027890786176321014,0.5578739335574052
690,MB,Barnard_Santa_Barbara,0.2058,0.2997031883238638,13.356490357688603,8.348233541018558,175.75997234052105,185.67040140830542,0.03423604744645601,0.68482885072876
691,MB,Barnard_Santa_Barbara,0.3062,0.2997031883238638,13.356490357688603,8.348233541018558,175.75997234052105,185.67040140830542,0.03423604744645601,0.68482885072876
692,MB,Barnard_Santa_Barbara,0.2747,0.268324929212944,13.607591600826142,7.632232671575277,178.63728695493867,189.48214847002106,0.02350003237634235,0.47008232435215236
693,MB,Barnard_Santa_Barbara,0.2454,0.29230280773935474,13.622501444908407,7.556415754807733,192.50454440119628,198.25063127425187,0.03127818455068523,0.6256610110543711
694,MB,Barnard_Santa_Barbara,0.2325,0.3575071496862924,14.248342899837079,8.121688258446286,201.07985536569177,205.74666593057867,0.05135460961034543,1.0272281507762218
695,MB,Barnard_Santa_Barbara,0.2529,0.3575071496862924,14.248342899837079,8.121688258446286,201.07985536569177,205.74666593057867,0.05135460961034543,1.0272281507762218
696,MB,Barnard_Santa_Barbara,0.2136,0.36745491625453036,12.61258544446636,7.6234867578360195,195.0917248607381,199.7564922663872,0.04260207385082107,0.852208357019709
697,MB,Barnard_Santa_Barbara,0.2919,0.35594540191267937,12.550854873064088,6.6613452470843475,198.4513729809038,204.1410313320318,0.03487382821727446,0.6976115661334804
698,MB,Barnard_Santa_Barbara,0.2275,0.34478372512599903,12.637680219445253,6.398941906044967,202.81977957273747,207.37842960838103,0.03114220833530048,0.6229873569733835
